id	version	updated	step
1	3.0.3	2012-06-09 15:39:42	Complete
3	3.0.4	2012-12-14 18:25:54	Complete
5	3.0.5	2012-12-14 18:25:54	Complete
7	3.0.6	2014-05-23 16:11:12	Complete
9	3.0.7	2014-05-23 16:11:12	Complete
11	4.1.0	2017-08-03 05:55:38	Complete
13	4.2.0	2017-08-03 05:55:38	Complete
15	4.2.1	2017-08-03 05:55:38	Complete
17	4.3.0	2017-08-03 05:55:38	Complete
19	4.4.0	2017-08-03 05:55:38	Complete
21	4.4.1	2017-08-03 05:55:38	Complete
23	4.4.2	2017-08-03 05:55:38	Complete
25	4.5.0	2017-08-03 05:55:38	Complete
27	4.5.1	2017-08-03 05:55:38	Complete
29	4.5.2	2017-08-03 05:55:38	Complete
31	4.6.0	2017-08-03 05:55:38	Complete
33	4.6.1	2017-08-03 05:55:38	Complete
35	4.7.0	2017-08-03 05:55:38	Complete
37	4.7.1	2017-08-03 05:55:38	Complete
39	4.8.0	2017-08-03 05:55:38	Complete
41	4.8.1	2017-08-03 05:55:38	Complete
43	4.9.0	2017-08-03 05:55:38	Complete
45	4.9.1.0	2017-08-03 05:55:38	Complete
