name	value	default_value
account.cleanup.interval	3600	3600
affinity.processors.exclude	NULL	NULL
affinity.processors.order	HostAntiAffinityProcessor,ExplicitDedicationProcessor	HostAntiAffinityProcessor,ExplicitDedicationProcessor
agent.lb.enabled	false	false
agent.load.threshold	0.7	0.7
alert.email.addresses	NULL	NULL
alert.email.sender	NULL	NULL
alert.purge.delay	0	0
alert.purge.interval	86400	86400
alert.smtp.connectiontimeout	30000	30000
alert.smtp.host	NULL	NULL
alert.smtp.password	NULL	NULL
alert.smtp.port	465	465
alert.smtp.timeout	30000	30000
alert.smtp.useAuth	NULL	NULL
alert.smtp.username	NULL	NULL
alert.wait	NULL	1800
allow.public.user.templates	false	true
allow.subdomain.network.access	false	false
allow.user.create.projects	false	false
allow.user.expunge.recover.vm	false	false
allow.user.view.destroyed.vm	false	false
api.checkers.exclude	NULL	NULL
api.throttling.cachesize	50000	50000
api.throttling.enabled	false	false
api.throttling.interval	1	1
api.throttling.max	25	25
apply.allocation.algorithm.to.pods	false	false
backup.snapshot.wait	345600	345600
baremetal.ipmi.fail.retry	default	default
baremetal.ipmi.lan.interface	default	default
blacklisted.routes	NULL	NULL
capacity.check.period	300000	300000
capacity.skipcounting.hours	315360000	315360000
check.pod.cidrs	true	true
check.txn.before.sending.agent.commands	false	false
cloud.dns.name	NULL	NULL
cloud.identifier	k+NaaiINhWgm71xDS2BuEHNATVc0vNYp1Hlo3c703Ies0bgyWAHoqATlccVFre5k	k+NaaiINhWgm71xDS2BuEHNATVc0vNYp1Hlo3c703Ies0bgyWAHoqATlccVFre5k
cloudbyte.management.apikey	NULL	NULL
cloudbyte.management.ip	NULL	NULL
cluster.cpu.allocated.capacity.disablethreshold	0.80	0.85
cluster.cpu.allocated.capacity.notificationthreshold	0.825	0.75
cluster.heartbeat.interval	1500	1500
cluster.heartbeat.threshold	150000	150000
cluster.localStorage.capacity.notificationthreshold	0.75	0.75
cluster.memory.allocated.capacity.disablethreshold	0.85	0.85
cluster.memory.allocated.capacity.notificationthreshold	0.75	0.75
cluster.message.timeout.seconds	300	300
cluster.storage.allocated.capacity.notificationthreshold	0.75	0.75
cluster.storage.capacity.notificationthreshold	0.75	0.75
cluster.storage.operations.exclude	NULL	false
concurrent.snapshots.threshold.perhost	NULL	NULL
console.proxy.allocator.exclude	NULL	NULL
consoleproxy.capacity.standby	10	10
consoleproxy.capacityscan.interval	30000	30000
consoleproxy.cmd.port	8001	8001
consoleproxy.disable.rpfilter	true	true
consoleproxy.launch.max	10	10
